row_id,outcome_text
E001,Students will strengthen their social-emotional skills.
E002,Soft Skills — Social-emotional skills
E003,Youth will demonstrate growth in all five CASEL competencies.
E004,Students will use a breathing strategy to calm down when angry.
E005,Participants will build life skills.
E006,Youth will report improved overall well-being.
E007,Improved academic performance
E008,Students' grades will improve in core subjects.
E009,Increase in healthy behaviors
E010,Fund 20% of operations through government and foundation grants.
E011,Short-Term Fiscal Stability
E012,Improved organizational visibility and brand recognition in Philadelphia.
E013,Evaluation results show clear evidence linking the program to academic outcomes.
E014,Improved data-sharing and reporting with school partners.
E015,"Neighbors will feel healthier physically, mentally, and emotionally."
E016,Our communities become more accepting of cultural differences.
E017,"Healthier, greener, safer neighborhoods."
E018,Increased audience attendance at community concerts.
E019,Teachers report increased job satisfaction.
E020,"Volunteer coaches have a joyful, meaningful experience."
E021,Teaching artists earn a sustainable income from program work.
E022,Teachers will learn three new arts-integration strategies.
E023,Teachers will use arts-integration strategies in at least two lessons per month.
E024,Students will increase their appreciation of classical music.
E025,"Students will improve their technical dance skills (turns, extensions, alignment)."
E026,Students will feel comfortable visiting museums and cultural institutions.
E027,Preserve and celebrate Afro-Brazilian cultural traditions for future generations.
E028,Students will choreograph an original dance piece.
E029,Students will perform their original dance piece at a spring showcase.
E030,Youth will create and follow a personal budget.
E031,Graduates will complete college with manageable student-loan debt.
E032,Families will enroll in SNAP and WIC benefits.
E033,Students will take at least one action to protect local wildlife.
E034,Reduction in food waste from school meals.
E035,Students will explain how photosynthesis works in the school garden.
E036,Students will expand their professional network through mentor introductions.
E037,Alumni leverage program relationships to access internships and jobs.
E038,Students will report higher educational aspirations.
E039,Youth will develop an increased sense of possibility for their future.
E040,Students will be exposed to four art disciplines.
E041,Students will be exposed to careers in environmental science.
E042,Students will improve spatial awareness and motor coordination through dance.
E043,Improved body image
E044,Youth will get at least 8 hours of sleep on school nights.
E045,Students with IEPs will lead their own IEP meetings.
E046,Students with disabilities will be placed in inclusive general-education classrooms.
E047,Families will receive school communications in their home language.
E048,English learners will advance one WIDA proficiency level.
E049,Students demonstrate improvements in:
E050,After School and summer programs
E051,We are still in the process of receiving report cards from our tutoring partner due to privacy rules.
E052,Awareness
E053,Weekly 90-minute sessions led by teaching artists
E054,Increase skill sets
E055,Students will report feeling less anxious before tests.
E056,Students will use a coping strategy before tests.
E057,Program will maintain 85% average daily attendance.
E058,Participating students will reduce chronic absenteeism at school.
E059,Students will self-report that the program improved their grades.
E060,Students will feel more confident in math class.
E061,Youth will feel positive about their own sexuality and manage their reproductive health.
E062,Students will improve their math scores and make new friends.
E063,"Youth will demonstrate improved frustration tolerance during homework time, leading to more assignments completed on time."
E064,Students will complete their homework and improve their reading level.
E065,"Teachers gain arts-integration skills, leading to higher student engagement."
E066,Parents will attend family workshops and read to their children at home.
E067,Developed Strong Social-Emotional Competencies (grit/resilience; self-efficacy; sense of belonging)
E068,Students will write and perform original poems.
E069,Improved academic and social success
E070,Increased college enrollment and graduation
E071,"Youth increase their confidence when speaking, debating, and solving problems."
E072,"Through weekly one-on-one mentoring, youth will identify at least one trusted adult."
E073,"By using theatre to create and present stories, students find the courage to live their own story with purpose."
