row_id,outcome_text,expected_under_v2_0,expected_translated_to_3_0
E001,Students will strengthen their social-emotional skills.,UNCODED or Domain 4 umbrella (none exists),UNCODED or Domain 4 umbrella (none exists)
E002,Soft Skills — Social-emotional skills,same as above,same as above
E003,Youth will demonstrate growth in all five CASEL competencies.,"one split per competency, or umbrella","one split per competency, or umbrella"
E004,Students will use a breathing strategy to calm down when angry.,4.2.1,Y4.2 (merge)
E005,Participants will build life skills.,no home; 4.5.3 / 9.5 / 6.4 all used in live run,"no home; Y4.10 (merge) / Y7.3 / Y5.5 (split; also Y5.4 Confidence, Self-Efficacy & Self-Worth) all used in live run"
E006,Youth will report improved overall well-being.,no home; 2.1 vs 8.2 vs 8.1 all used,no home; Y2.1 vs Y8.6 vs Y8.1 (split; also Y8.2 Motor & Sport Skills | Y8.3 Health Knowledge & Safety Skills | Y8.5 Health Care Access & Condition Management) all used
E007,Improved academic performance,11.* (no general code),11.* (no general code)
E008,Students' grades will improve in core subjects.,11.* (no GPA/grades code),11.* (no GPA/grades code)
E009,Increase in healthy behaviors,7.* (no general health-behavior code),7.* (no general health-behavior code)
E010,Fund 20% of operations through government and foundation grants.,UNCODED (decided 2026-09-23: org-level outcomes are out of scope),UNCODED (decided 2026-09-23: org-level outcomes are out of scope)
E011,Short-Term Fiscal Stability,UNCODED (decided 2026-09-23: org-level outcomes are out of scope),UNCODED (decided 2026-09-23: org-level outcomes are out of scope)
E012,Improved organizational visibility and brand recognition in Philadelphia.,UNCODED (decided 2026-09-23: org-level outcomes are out of scope),UNCODED (decided 2026-09-23: org-level outcomes are out of scope)
E013,Evaluation results show clear evidence linking the program to academic outcomes.,UNCODED (decided 2026-09-23: org-level outcomes are out of scope),UNCODED (decided 2026-09-23: org-level outcomes are out of scope)
E014,Improved data-sharing and reporting with school partners.,11.3,A3.1 (split; also A3.2 Cross-Sector Partnerships)
E015,"Neighbors will feel healthier physically, mentally, and emotionally.",8.1 / 8.2 with target_population community_neighborhood,Y8.1 (split; also Y8.2 Motor & Sport Skills | Y8.3 Health Knowledge & Safety Skills | Y8.5 Health Care Access & Condition Management) / Y8.6 with target_population community_neighborhood
E016,Our communities become more accepting of cultural differences.,4.3.2 is a youth skill; no community-level code,Y4.5 is a youth skill; no community-level code
E017,"Healthier, greener, safer neighborhoods.",no home; 7.2 / 6.1 / 8.7 used,"no home; Y6.5 / Y8.10 (split; also Y3.1 Belonging & Mattering | Y5.6 Agency, Self-Determination & Self-Advocacy) / Y8.12 used"
E018,Increased audience attendance at community concerts.,11.5 (reach) vs 2.5,A2.5 (reach) vs Y2.5 (merge)
E019,Teachers report increased job satisfaction.,no home; 11.3 used in live run,no home; A3.1 (split; also A3.2 Cross-Sector Partnerships) used in live run
E020,"Volunteer coaches have a joyful, meaningful experience.",no home; 11.1 used,no home; A1.1 used
E021,Teaching artists earn a sustainable income from program work.,no home; 11.3 / 9.8 candidates,no home; A3.1 (split; also A3.2 Cross-Sector Partnerships) / Y7.5 candidates
E022,Teachers will learn three new arts-integration strategies.,11.1,A1.1
E023,Teachers will use arts-integration strategies in at least two lessons per month.,11.2,A1.2
E024,Students will increase their appreciation of classical music.,2.5 (responding) or 2.3,Y2.5 (merge) (responding) or Y2.4
E025,"Students will improve their technical dance skills (turns, extensions, alignment).",no home; 2.4 / 1.3 / 9.6 / 8.1 candidates,no home; Y2.5 (merge) / Y1.5 (split; also Y6.2 Civic Knowledge | Y8.3 Health Knowledge & Safety Skills) / Y7.4 / Y8.1 (split; also Y8.2 Motor & Sport Skills | Y8.3 Health Knowledge & Safety Skills | Y8.5 Health Care Access & Condition Management) candidates
E026,Students will feel comfortable visiting museums and cultural institutions.,3.1 / 6.3 / 10.2 used,Y3.1 / Y2.6 / A2.4 used
E027,Preserve and celebrate Afro-Brazilian cultural traditions for future generations.,3.4 (the youth's own identity) is a stretch,Y5.2 (the youth's own identity) is a stretch
E028,Students will choreograph an original dance piece.,2.4,Y2.5 (merge)
E029,Students will perform their original dance piece at a spring showcase.,2.5,Y2.5 (merge)
E030,Youth will create and follow a personal budget.,no home (deferred); 1.2 / 9.5 / 12.5 used,no home (deferred); Y1.3 / Y7.3 / F2.1 used
E031,Graduates will complete college with manageable student-loan debt.,no home; 9.3 / 9.7 candidates,no home; Y7.2 / Y1.18 candidates
E032,Families will enroll in SNAP and WIC benefits.,12.5,F2.1
E033,Students will take at least one action to protect local wildlife.,no home (deferred); 7.2 / 6.2 / 4.5.1 used,no home (deferred); Y6.5 / Y6.1 / Y4.10 (merge) used
E034,Reduction in food waste from school meals.,no home; 11.3 used,no home; A3.1 (split; also A3.2 Cross-Sector Partnerships) used
E035,Students will explain how photosynthesis works in the school garden.,1.3,Y1.5 (split; also Y6.2 Civic Knowledge | Y8.3 Health Knowledge & Safety Skills)
