row_id,outcome_text,old_expectation_in_3_0_codes,coder_a_3_0,coder_b_3_0,determination,pattern,note
E001,Students will strengthen their social-emotional skills.,UNCODED or Domain 4 umbrella (none exists),Y4.2 (low),none (none),uncoded (CP-09-07) or new Y4.13 (option B),P5 generic SEL,No skill named. Coders split (Y4.2 low / none).
E002,Soft Skills — Social-emotional skills,same as above,none (none),none (none),uncoded,P5 generic SEL,Label form; both coders uncoded.
E003,Youth will demonstrate growth in all five CASEL competencies.,"one split per competency, or umbrella",Y4.2 (low),none (none),uncoded (CP-09-07) or Y4.13,P5 generic SEL,"""All five"" names no skill; do not invent five splits."
E004,Students will use a breathing strategy to calm down when angry.,Y4.2 (merge),Y4.2 (high),Y4.2 (high),Y4.2,control,Both coders agree.
E005,Participants will build life skills.,"no home; Y4.10 (merge) / Y7.3 / Y5.5 (split; also Y5.4 Confidence, Self-Efficacy & Self-Worth) all used in live run",Y7.7 (low),Y7.7 (medium),Y7.7,closed by 3.0,Matches held-out N055 gold (life skills -> Y7.7).
E006,Youth will report improved overall well-being.,no home; Y2.1 vs Y8.6 vs Y8.1 (split; also Y8.2 Motor & Sport Skills | Y8.3 Health Knowledge & Safety Skills | Y8.5 Health Care Access & Condition Management) all used,Y8.7 (high),Y8.7 (high),Y8.7,closed by 3.0,
E007,Improved academic performance,11.* (no general code),Y1.15 (high),Y1.15 (high),Y1.15,closed by 3.0,Rule 9: no subject named.
E008,Students' grades will improve in core subjects.,11.* (no GPA/grades code),Y1.15 (high),Y1.15 (high),Y1.15,closed by 3.0,Grades go to Y1.15 even with subjects named.
E009,Increase in healthy behaviors,7.* (no general health-behavior code),Y8.1 (medium),Y8.1 (medium),Y8.1,closed by 3.0,
E010,Fund 20% of operations through government and foundation grants.,UNCODED (decided 2026-09-23: org-level outcomes are out of scope),A3.1 (low),A3.1 (low),uncoded (CP-09-05),P6 organization,Both coders forced A3.1 low; 2026-09-23 decision says out of scope.
E011,Short-Term Fiscal Stability,UNCODED (decided 2026-09-23: org-level outcomes are out of scope),none (none),none (none),uncoded,P6 organization,
E012,Improved organizational visibility and brand recognition in Philadelphia.,UNCODED (decided 2026-09-23: org-level outcomes are out of scope),A2.5 (low),A2.1 (low),uncoded (CP-09-05),P6 organization,Coders forced A2.5 / A2.1 low.
E013,Evaluation results show clear evidence linking the program to academic outcomes.,UNCODED (decided 2026-09-23: org-level outcomes are out of scope),none (none),none (none),uncoded,P6 organization,A statement about the evaluation.
E014,Improved data-sharing and reporting with school partners.,A3.1 (split; also A3.2 Cross-Sector Partnerships),A3.2 (high),A3.2 (high),A3.2,closed by 3.0,A3.1 excludes data sharing.
E015,"Neighbors will feel healthier physically, mentally, and emotionally.",Y8.1 (split; also Y8.2 Motor & Sport Skills | Y8.3 Health Knowledge & Safety Skills | Y8.5 Health Care Access & Condition Management) / Y8.6 with target_population community_neighborhood,F1.4 (low),Y8.1 (low) ; Y8.7 (low),"A3.3 low; gap, leave alone",P9 community,Neighbors are not participants; rare.
E016,Our communities become more accepting of cultural differences.,Y4.5 is a youth skill; no community-level code,A3.3 (medium),Y4.5 (low),A3.3 medium,P9 community,Community norms are community conditions; Y4.5 is a youth skill.
E017,"Healthier, greener, safer neighborhoods.","no home; Y6.5 / Y8.10 (split; also Y3.1 Belonging & Mattering | Y5.6 Agency, Self-Determination & Self-Advocacy) / Y8.12 used",A3.3 (low) ; A3.3 (low) ; A3.3 (medium),Y8.1 (low) ; Y6.6 (low) ; A3.3 (low),"A3.3 low; gap, leave alone",P9 community,
E018,Increased audience attendance at community concerts.,A2.5 (reach) vs Y2.5 (merge),A2.5 (high),A2.5 (medium),A2.5,P3 arts appreciation,Audience counts of non-participants are reach.
E019,Teachers report increased job satisfaction.,no home; A3.1 (split; also A3.2 Cross-Sector Partnerships) used in live run,A1.3 (medium),A1.3 (medium),A1.3,closed by 3.0,Staff well-being.
E020,"Volunteer coaches have a joyful, meaningful experience.",no home; A1.1 used,A1.3 (medium),A1.3 (medium),A1.3 medium,closed by 3.0,Volunteers sit in A1.
E021,Teaching artists earn a sustainable income from program work.,no home; A3.1 (split; also A3.2 Cross-Sector Partnerships) / Y7.5 candidates,A1.3 (medium),A1.3 (low),A1.3 low,leave alone,Staff pay has no code; rare.
E022,Teachers will learn three new arts-integration strategies.,A1.1,A1.1 (high),A1.1 (high),A1.1,control,
E023,Teachers will use arts-integration strategies in at least two lessons per month.,A1.2,A1.2 (high),A1.2 (high),A1.2,control,
E024,Students will increase their appreciation of classical music.,Y2.5 (merge) (responding) or Y2.4,Y2.5 (medium),Y2.1 (medium),Y2.5 (CP-09-04),P3 arts appreciation,Coders split Y2.5 / Y2.1; held-out N005 gold is Y2.5.
