sid,organization,group
N001,,General
N002,Achieve Now,General
N003,Yoga 4 Philly,General
N004,BOYS & GIRLS RISING,Intermediate (3–6 Months)
N005,Opera Philadelphia,General
N006,North10 Philadelphia,General
N007,Historic Germantown,Program
N008,Philadelphia Office of Children and Families,General
N009,ArtSmart,General
N010,1812 Productions,General
N011,"Netter Center for Community Partnerships, University of Pennsylvania",Outcomes for Youth
N012,Spark,General
N013,Pride Youth Services,Short-Term
N014,The Print Center,General
N015,After School Activities Partnerships (ASAP),Youth Outcomes
N016,MAMADÊLÊ FOUNDATION,Cultural Preservation
N017,Greater Philadelphia YMCA,General
N018,"LNESC (LULAC National Educational Service Centers, Inc.)",Post Secondary Oucomes
N019,Philly KiDZ Initiative,General
N020,The Rock School for Dance Education,Changed attitudes (or opinions or values)
N021,Pride Youth Services,General
N022,Wagner Free Institute of Science,Students
N023,Timoteo Sports · Mentoring · Community,General
N024,History Hunters,General
N025,Philadelphia Ballet,Dance Chance Value
N026,Vetri Community Partnership,LONG TERM (TAKEAWAYS)
N027,The Print Center,General
N028,Students Run Philly Style,SYSTEM Level
N029,Fleisher Art Memorial,Personal Development
N030,Fleisher Art Memorial,Personal Development
N031,Healthy NewsWorks,Core Reporters
N032,DesignPhiladelphia,General
N033,Philadelphia Museum of Art,Students
N034,The Commons,General
N035,Philadelphia Young Playwrights,General
N036,Oxford Circle Christian Community Development Association,General
N037,Taller Puertorriqueño,General
N038,Oxford Circle Christian Community Development Association,General
N039,Philly KiDZ Initiative,General
N040,Healthy NewsWorks,Cub Reporters
N041,Opera Philadelphia,General
N042,A New Dawn Incorporated,General
N043,HFH,Intermediate
N044,TO HER WITH LOVE,"Attitudes, Awareness, Knowledge"
N045,Spark,General
N046,"LNESC (LULAC National Educational Service Centers, Inc.)",General
N047,A New Dawn Incorporated,General
N048,Arden Theatre Company,Teachers Actively Engage in Instruction
N049,Philadelphia Arts Impact Initiative,General
N050,"LNESC (LULAC National Educational Service Centers, Inc.)",Post Secondary Oucomes
N051,Philadelphia Youth Network,Career Readiness
N052,Girls Inc.,General
N053,Girl Scouts Eastern Pennsylvania,General
N054,PEF,STUDENTS
N055,Girls Inc.,General
N056,Philadelphia Young Playwrights,General
N057,Girls Inc.,General
N058,Healthy NewsWorks,Core Reporters
N059,HealthCorps,General
N060,Opera Philadelphia,General
N061,DesignPhiladelphia,General
N062,SEAMAAC,General
N063,Promise Corps,General
N064,Achieve Now,General
N065,The Barnes Foundation,General
N066,BalletX,General
N067,Walnut Street Theatre Corporation,Skills & Behaviors
N068,TO HER WITH LOVE,"Attitudes, Awareness, Knowledge"
N069,The Barnes Foundation,STO5: Deepen historical and cultural empathy; sharpening a sense of community mindedness
N070,Pride Youth Services,General
N071,ArtWell,General
N072,Spark,General
N073,Students Run Philly Style,SCHOOL/COMMUNITY Level
N074,Koresh Dance Company,Arts exposure and appreciation
N075,,Long-Term
N076,Historic Germantown,Program
N077,The School District of Philadelphia,"In programming, students..."
N078,Philadelphia Financial Scholars,General
N079,,General
N080,MAMADÊLÊ FOUNDATION,Respect for Tradition & Innovation
N081,Philadelphia Museum of Art,Students
N082,MAMADÊLÊ FOUNDATION,Community Empowerment
N083,University of Pennsylvania,Annual Outcomes*
N084,Oxford Circle Community Development Association (OCCCDA),Skills
N085,Oxford Circle Christian Community Development Association,General
N086,Greater Philadelphia YMCA,General
N087,BOYS & GIRLS RISING,Long-Term (6–12+ Months)
N088,Girl Scouts Eastern Pennsylvania,General
N089,Philadelphia STEM Equity Collective,Anticipated Outcomes
N090,Achieve Now,General
N091,A New Dawn Incorporated,General
N092,History Hunters,General
N093,The Rock School for Dance Education,Changed attitudes (or opinions or values)
N094,PEF,STUDENTS
N095,Spiral Q,General
N096,Philadelphia Ballet,General
N097,The PEAL Center,General
N098,Urban Fields Foundation,Short Term
N099,"Strong Point Strategy, LLC",General
N100,Historic Germantown,Students
