old_code_2_4_0,old_label,new_code,new_label,mapping,re_review_targets
1.1,1.1 Literacy: Reading & Writing,Y1.1,Literacy: Reading & Writing,one-to-one,
1.2,1.2 Numeracy & Mathematical Skill,Y1.3,Mathematics,one-to-one,
1.3,1.3 Knowledge & Skill in Other Academic Subjects,Y1.5,Other Academic Subjects,split (default target; flag for re-review),Y6.2 (civics & government); Y8.3 (health education)
1.4,1.4 English Language Proficiency & Multilingual Development,Y1.2,English Language Development & Multilingualism,one-to-one,
1.5,"1.5 Attendance, Chronic Absence & School Stability",Y1.13,Attendance & School Stability,one-to-one,
1.6,"1.6 Grades, Credits, On-Track Status & Graduation",Y1.15,"Grades, Credits & On-Track Status",split (default target; flag for re-review),"Y1.14 (suspension/expulsion); Y1.17 (graduation, GED, re-engagement)"
1.7,1.7 School Readiness & Early Learning,Y1.8,Early Learning & School Readiness,one-to-one,
1.8,"1.8 Science, Technology & Engineering",Y1.4,"Science, Technology & Engineering",one-to-one,
1.9,1.9 Arts Learning & Performance,Y1.6,Arts Learning,one-to-one,
2.1,2.1 Joy & Emotional Wellness,Y2.1,Enjoyment & Joy,one-to-one,
2.2,2.2 Triggered Situational Interest (Curiosity),Y2.2,Curiosity & Triggered Interest,one-to-one,
2.3,2.3 Value & Meaning (Utility Value),Y2.4,Relevance & Utility Value,one-to-one,
2.4,2.4 Creative Expression & Making,Y2.5,Creative Expression & Performance,merge,
2.5,"2.5 Performance, Presentation & Artistic Response",Y2.5,Creative Expression & Performance,merge,
2.6,2.6 Sustained & Individual Interest,Y2.3,Sustained & Individual Interest,one-to-one,
3.1,3.1 School/Program Connectedness (Belonging),Y3.1,Belonging & Mattering,one-to-one,
3.2,3.2 Adult Support & Care,Y3.2,Supportive Adult Relationships,one-to-one,
3.3,3.3 Peer Connection & Social Integration,Y3.3,Peer Relationships & Friendship,one-to-one,
3.4,3.4 Cultural Identity & Affirmation,Y5.2,Cultural & Social Identity,one-to-one,
3.5,3.5 Family Partnership & Connection,F1.8,Family Connection & Trust with the Program,one-to-one,
3.6,3.6 Social Capital & Networks,Y3.5,Social Capital & Networks,one-to-one,
4.1.1,4.1.1 Identifying and naming emotions,Y4.1,Emotion Awareness,one-to-one,
4.1.2,4.1.2 Understanding self & identity,Y5.1,Self-Understanding & Identity Exploration,one-to-one,
4.1.3,4.1.3 Recognizing strengths,Y5.4,"Confidence, Self-Efficacy & Self-Worth",merge,
4.1.4,"4.1.4 Confidence, self-efficacy & growth mindset",Y5.4,"Confidence, Self-Efficacy & Self-Worth",merge,
4.2.1,4.2.1 Emotion regulation & impulse control,Y4.2,Emotion Regulation & Coping,merge,
4.2.2,4.2.2 Stress management & coping skills,Y4.2,Emotion Regulation & Coping,merge,
4.2.3,4.2.3 Goal-setting & follow-through,Y4.3,"Goal-Setting, Organization & Self-Discipline",merge,
4.2.4,"4.2.4 Organization, persistence & self-discipline",Y4.3,"Goal-Setting, Organization & Self-Discipline",merge,
4.3.1,4.3.1 Empathy & perspective-taking,Y4.4,"Empathy, Perspective-Taking & Social Awareness",merge,
4.3.2,4.3.2 Respect for diversity & inclusion,Y4.5,Respect for Diversity & Cultural Competence,one-to-one,
4.3.3,4.3.3 Understanding norms & expectations,Y4.4,"Empathy, Perspective-Taking & Social Awareness",merge,
4.3.4,4.3.4 Awareness of supports and resources,Y4.9,Help-Seeking & Offering Support,merge,
4.4.1,4.4.1 Communication & active listening,Y4.6,Communication & Public Speaking,one-to-one,
4.4.2,"4.4.2 Cooperation, teamwork & collaboration",Y4.7,"Teamwork, Collaboration & Group Leadership",one-to-one,
4.4.3,4.4.3 Conflict management & problem-solving in relationships,Y4.8,Relationship-Building & Conflict Resolution,merge,
4.4.4,4.4.4 Help-seeking & providing support,Y4.9,Help-Seeking & Offering Support,merge,
4.4.5,4.4.5 Building and sustaining positive relationships,Y4.8,Relationship-Building & Conflict Resolution,merge,
4.5.1,4.5.1 Evaluating options & consequences,Y4.10,Decision-Making & Problem-Solving,merge,
4.5.2,4.5.2 Ethical and prosocial choices,Y4.11,Ethical & Prosocial Choices,merge,
4.5.3,4.5.3 Personal and social problem-solving,Y4.10,Decision-Making & Problem-Solving,merge,
4.5.4,4.5.4 Safety-oriented decisions & risk avoidance,Y4.12,Risk Avoidance & Refusal Skills,one-to-one,
4.5.5,4.5.5 Contributions to class/program/community wellbeing,Y4.11,Ethical & Prosocial Choices,merge,
5.1,5.1 Academic Behaviors (Engagement),Y1.9,Academic Engagement Behaviors,one-to-one,
5.2,5.2 Academic Perseverance (Grit/Tenacity),Y1.10,Academic Perseverance,one-to-one,
5.3,5.3 Learning Strategies (Study Skills),Y1.11,Learning Strategies & Study Skills,one-to-one,
5.4,5.4 Academic Confidence (Self-Efficacy),Y1.12,Academic Mindsets & Self-Efficacy,one-to-one,
6.1,6.1 Empowerment & Safety,Y8.10,Felt Safety,split (default target; flag for re-review),Y3.1 (mattering in the program); Y5.6 (voice/control over own life)
6.2,6.2 Positive Values,Y6.1,Positive Values & Character,one-to-one,
6.3,6.3 Constructive Use of Time,Y2.6,Participation in Enriching Activities,one-to-one,
6.4,6.4 Positive Identity,Y5.5,Purpose & Future Orientation,split (default target; flag for re-review),Y5.4 (self-esteem)
7.1,7.1 Civic Skills & Knowledge,Y6.2,Civic Knowledge,one-to-one,
7.2,7.2 Community Service & Action,Y6.5,Community Service & Action,one-to-one,
7.3,7.3 Youth Voice & Leadership,Y6.4,"Civic Voice, Leadership & Participation",one-to-one,
7.4,7.4 Criticality & Social Justice,Y6.3,Critical Consciousness & Social Justice,one-to-one,
7.5,7.5 Digital Citizenship & Safety,Y6.7,Digital Citizenship & Online Safety,one-to-one,
8.1,8.1 Physical Activity & Nutrition,Y8.1,Healthy Daily Habits,split (default target; flag for re-review),"Y8.2 (motor/sport skills); Y8.3 (first aid, safety skills); Y8.5 (screenings, chronic conditions)"
8.2,8.2 Mental Health Status (Symptom Reduction),Y8.6,Mental Health Symptoms & Distress,one-to-one,
8.3,8.3 Healing & Trauma Recovery,Y8.8,Healing & Trauma Recovery,one-to-one,
8.4,8.4 Access to Mental Health Services,Y8.9,Mental Health Service Access & Use,one-to-one,
8.5,8.5 Substance Use Prevention & Reduction,Y8.11,Substance Use,one-to-one,
8.6,8.6 Sexual & Reproductive Health Behaviors,Y8.4,Sexual & Reproductive Health,one-to-one,
