gold_id,set,outcome_text,v3_gold,v3_suggested,v3_alternates,via_v2,via_2x,needs_review,review_reason,codebook_gap,expected_uncoded,adjudication_note,status,adjudicated_by,adjudicated_on
H001,heldout,85% of enrolled youth attended at least 30 program sessions during the school year.,,"A2.5 Participation, Dosage & Reach (Output)",Y2.6 Participation in Enriching Activities,A2.5,A2.5,no,,0,false,,proposed,,
H002,heldout,"Parents reported feeling more confident that their child has a safe, supervised place to go after school.",A2.2 Participant & Family Satisfaction,A2.2 Participant & Family Satisfaction,F1.8 Family Connection & Trust with the Program,A2.2,F1.8,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H003,heldout,Youth who attended the program regularly improved their homework completion habits.,,Y1.9 Academic Engagement Behaviors,"Y4.3 Goal-Setting, Organization & Self-Discipline",Y1.9,Y1.9,no,,0,false,,proposed,,
H004,heldout,Students reading below grade level increased their oral reading fluency by an average of 12 words per minute.,,Y1.1 Literacy: Reading & Writing,,Y1.1,Y1.1,no,,0,false,,proposed,,
H005,heldout,Tutors completed 40 hours of training and began weekly one-on-one sessions with assigned students.,"A2.5 Participation, Dosage & Reach (Output)","A2.5 Participation, Dosage & Reach (Output)",A1.1 Staff & Volunteer Knowledge & Skills,A2.5,A1.1,yes,v2 and 2.x routes disagree,0,false,Severin: this is an output that speaks to preparation for the tutors (staff) of the program.  I am not sure if A2.5 totally covers that or not.,adjudicated,Severin,2026-09-26
H006,heldout,Youth feel more confident reading aloud in front of their class.,,Y1.12 Academic Mindsets & Self-Efficacy,Y4.6 Communication & Public Speaking | Y1.1 Literacy: Reading & Writing,Y1.12,Y1.12,no,,0,false,,proposed,,
H007,heldout,70% of participants reported increased interest in pursuing a career in a STEM field.,,Y7.1 Career Awareness & Exploration,Y2.3 Sustained & Individual Interest,Y7.1,Y7.1,no,,0,false,,proposed,,
H008,heldout,Youth designed and built a functioning robot and presented it at the regional competition.,"Y1.4 Science, Technology & Engineering","Y1.4 Science, Technology & Engineering","Y2.5 Creative Expression & Performance | Y4.7 Teamwork, Collaboration & Group Leadership",Y1.4,Y2.5,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H009,heldout,Girls' enrollment in advanced STEM electives at partner schools increased 15% over the prior year.,Y1.16 Advanced Coursework & Dual Credit,Y1.16 Advanced Coursework & Dual Credit,"A2.4 Inclusion, Accommodations & Language Access | A2.5 Participation, Dosage & Reach (Output)",Y1.16,A2.4,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H010,heldout,Participants demonstrated improved technical skill on their instrument as measured by a jury assessment.,Y1.6 Arts Learning,Y1.6 Arts Learning,Y1.5 Other Academic Subjects | Y5.3 Domain Identity,Y1.6,Y1.5,yes,v2 and 2.x routes disagree; 2.x code 1.3 was split,0,false,,adjudicated,Severin,2026-09-26
H011,heldout,The program presented 12 community performances this season.,,"A2.5 Participation, Dosage & Reach (Output)",,A2.5,A2.5,no,,0,false,,proposed,,
H012,heldout,Youth reported feeling more comfortable expressing themselves creatively and made new friends in the program.,Y2.5 Creative Expression & Performance,"Y5.4 Confidence, Self-Efficacy & Self-Worth","Y5.4 Confidence, Self-Efficacy & Self-Worth",Y5.4,Y2.5,yes,v2 and 2.x routes disagree,0,false,Severin: This is really two separate outcomes in a single statement. The outcomes coder should split them and code them individually.,adjudicated,Severin,2026-09-26
H013,heldout,Participants increased their weekly physical activity to at least 60 minutes on 5 or more days.,Y8.1 Healthy Daily Habits,Y8.1 Healthy Daily Habits,,Y8.1,Y8.1,yes,2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
H014,heldout,Coaches learned to lead a new conflict-resolution curriculum during pre-season training.,,A1.1 Staff & Volunteer Knowledge & Skills,A1.2 Practice Change,A1.1,A1.1,no,,0,false,,proposed,,
H015,heldout,Youth showed improved sportsmanship and teamwork during games.,,Y6.1 Positive Values & Character,Y4.11 Ethical & Prosocial Choices,Y6.1,Y6.1,no,,0,false,,proposed,,
H016,heldout,85% of mentor-mentee matches remained active for at least 12 months.,,"A2.5 Participation, Dosage & Reach (Output)",Y3.2 Supportive Adult Relationships,A2.5,A2.5,no,,0,false,,proposed,,
H017,heldout,Mentees reported a stronger sense of belonging and connection to a caring adult.,,Y3.1 Belonging & Mattering,Y3.2 Supportive Adult Relationships,Y3.1,Y3.1,no,,0,false,,proposed,,
H018,heldout,"Youth-mentor pairs met weekly, and mentees' school attendance improved over the program year.",,Y1.13 Attendance & School Stability,"A2.5 Participation, Dosage & Reach (Output)",Y1.13,Y1.13,no,,0,false,,proposed,,
H019,heldout,Seniors submitted the FAFSA and at least one college application by January 1.,,Y7.2 College & Career Transition Knowledge,"Y1.18 Postsecondary Enrollment, Persistence & Completion",Y7.2,Y7.2,no,,0,false,,proposed,,
H020,heldout,90% of participants enrolled in a two- or four-year college the fall after graduation.,,"Y1.18 Postsecondary Enrollment, Persistence & Completion",,Y1.18,Y1.18,no,,0,false,,proposed,,
H021,heldout,"Students increased their understanding of the financial aid process, including grants and loans.",,Y7.2 College & Career Transition Knowledge,,Y7.2,Y7.2,no,,0,false,,proposed,,
H022,heldout,Youth obtained subsidized summer employment and completed at least 120 paid work hours.,,Y7.5 Employment & Earnings,"Y7.4 Technical Skills, Credentials & Work-Based Learning",Y7.5,Y7.5,no,,0,false,,proposed,,
H023,heldout,Participants demonstrated improved workplace communication and professionalism.,,Y7.3 Employability & Workplace Skills,Y4.6 Communication & Public Speaking,Y7.3,Y7.3,no,,0,false,,proposed,,
H024,heldout,75% of program graduates were employed or enrolled in postsecondary education six months after completion.,,Y7.5 Employment & Earnings,"Y1.18 Postsecondary Enrollment, Persistence & Completion",Y7.5,Y7.5,no,,0,false,,proposed,,
H025,heldout,Participants opened a savings account within three months of completing the workshop.,,Y7.6 Financial Capability,"F2.1 Income, Benefits & Financial Stability",Y7.6,Y7.6,no,,0,false,,proposed,,
H026,heldout,"Youth increased their knowledge of budgeting, credit, and saving as measured by a pre/post quiz.",,Y7.6 Financial Capability,,Y7.6,Y7.6,no,,0,false,,proposed,,
