gold_id,set,outcome_text,v3_gold,v3_suggested,v3_alternates,coder_a,coder_b,needs_review,review_reason,codebook_gap,expected_uncoded,adjudication_note,status,adjudicated_by,adjudicated_on
N001,heldout3,Youth begin identifying as leaders and emerging mentors,Y5.3 Domain Identity,Y5.3 Domain Identity,,Y5.3,Y5.3,no,,0,false,,adjudicated,Severin,2026-09-26
N002,heldout3,Coaches give growth mindset feedback during lessons,A1.2 Practice Change,A1.2 Practice Change,,A1.2,A1.2,yes,one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N003,heldout3,Positive school culture — Schools that adopt wellness practices as a core value enhance school unity,A3.1 Policy & Institutional Change,,A1.2 Practice Change,A3.1,A1.2,yes,The two coders chose different main codes; one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N004,heldout3,Improved behavior and decision-making,Y4.10 Decision-Making & Problem-Solving,,,Y8.6 | Y4.10,Y4.11 | Y4.10,yes,The two coders chose different main codes; one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N005,heldout3,Students' and partners' increased appreciation of music,Y2.5 Creative Expression & Performance,Y2.5 Creative Expression & Performance,,Y2.5,Y2.5,no,,0,false,,adjudicated,Severin,2026-09-26
N006,heldout3,Youth will demonstrate sustained academic achievement by graduating on time and prepared for long-term educational success,Y1.17 High School Completion & Re-engagement,Y1.17 High School Completion & Re-engagement,,Y1.17,Y1.17,no,,0,false,,adjudicated,Severin,2026-09-26
N007,heldout3,Grows to include more HG sites,"A2.5 Participation, Dosage & Reach (Output)","A2.5 Participation, Dosage & Reach (Output)",,A2.5,A2.5,yes,one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N008,heldout3,Promote life-long enthusiasm for learning,Y2.3 Sustained & Individual Interest,Y2.3 Sustained & Individual Interest,,Y2.3,Y2.3,no,,0,false,,adjudicated,Severin,2026-09-26
N009,heldout3,Establish a Nationwide Infrastructure for Arts Mentorship Organizations.,A3.2 Cross-Sector Partnerships,A3.2 Cross-Sector Partnerships,,A3.2,A3.2,yes,one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N010,heldout3,"Due to the fact that Widener’s students’ abilities vary greatly, our overarching goal is to improve overall communication skills, whether that means students speaking with greater clarity or an increase in physical responsiveness from nonverbal students",Y4.6 Communication & Public Speaking,Y4.6 Communication & Public Speaking,,Y4.6,Y4.6,no,,0,false,,adjudicated,Severin,2026-09-26
N011,heldout3,Decreased rates of disciplinary actions,Y1.14 Exclusionary Discipline,Y1.14 Exclusionary Discipline,,Y1.14,Y1.14,no,,0,false,,adjudicated,Severin,2026-09-26
N012,heldout3,Students improve academic performance and engagement,"Y1.15 Grades, Credits & On-Track Status","Y1.15 Grades, Credits & On-Track Status",Y1.9 Academic Engagement Behaviors,Y1.15 | Y1.9,Y1.15 | Y1.9,no,,0,false,,adjudicated,Severin,2026-09-26
