kind,old_code,new_code,old_label,new_label
domain,11,1,Domain 11. Academic Learning & Achievement,Domain 1. Academic Learning & Achievement
domain,1,2,"Domain 1. Joy, Interest & Motivation in Learning","Domain 2. Joy, Interest & Motivation in Learning"
domain,2,3,"Domain 2. Belonging, Relationships & School Connectedness","Domain 3. Belonging, Relationships & School Connectedness"
domain,3,4,Domain 3. Social & Emotional Learning (CASEL-aligned),Domain 4. Social & Emotional Learning (CASEL-aligned)
domain,4,5,Domain 4. Academic Engagement & Habits,Domain 5. Academic Engagement & Habits
domain,5,6,Domain 5. Positive Youth Development (PYD) & Assets,Domain 6. Positive Youth Development (PYD) & Assets
domain,6,7,Domain 6. Civic Engagement & Community,Domain 7. Civic Engagement & Community
domain,7,8,Domain 7. Physical & Behavioral Health,Domain 8. Physical & Behavioral Health
domain,8,9,Domain 8. College & Career Readiness,Domain 9. College & Career Readiness
domain,9,10,Domain 9. Access & Equity,Domain 10. Access & Equity
domain,10,11,Domain 10. Adult & System Capacity,Domain 11. Adult & System Capacity
domain,12,12,Domain 12. Family Strengthening & Basic Needs,Domain 12. Family Strengthening & Basic Needs
subcategory,11.1,1.1,11.1 Literacy: Reading & Writing,1.1 Literacy: Reading & Writing
subcategory,11.2,1.2,11.2 Numeracy & Mathematical Skill,1.2 Numeracy & Mathematical Skill
subcategory,11.3,1.3,11.3 Knowledge & Skill in Other Academic Subjects,1.3 Knowledge & Skill in Other Academic Subjects
subcategory,11.4,1.4,11.4 English Language Proficiency & Multilingual Development,1.4 English Language Proficiency & Multilingual Development
subcategory,11.5,1.5,"11.5 Attendance, Chronic Absence & School Stability","1.5 Attendance, Chronic Absence & School Stability"
subcategory,11.6,1.6,"11.6 Grades, Credits, On-Track Status & Graduation","1.6 Grades, Credits, On-Track Status & Graduation"
subcategory,11.7,1.7,11.7 School Readiness & Early Learning,1.7 School Readiness & Early Learning
subcategory,11.8,1.8,"11.8 Science, Technology & Engineering","1.8 Science, Technology & Engineering"
subcategory,11.9,1.9,11.9 Arts Learning & Performance,1.9 Arts Learning & Performance
subcategory,1.1,2.1,1.1 Joy & Emotional Wellness,2.1 Joy & Emotional Wellness
subcategory,1.2,2.2,1.2 Triggered Situational Interest (Curiosity),2.2 Triggered Situational Interest (Curiosity)
subcategory,1.3,2.3,1.3 Value & Meaning (Utility Value),2.3 Value & Meaning (Utility Value)
subcategory,1.4,2.4,1.4 Creative Expression & Making,2.4 Creative Expression & Making
subcategory,1.5,2.5,"1.5 Performance, Presentation & Artistic Response","2.5 Performance, Presentation & Artistic Response"
subcategory,2.1,3.1,2.1 School/Program Connectedness (Belonging),3.1 School/Program Connectedness (Belonging)
subcategory,2.2,3.2,2.2 Adult Support & Care,3.2 Adult Support & Care
subcategory,2.3,3.3,2.3 Peer Connection & Social Integration,3.3 Peer Connection & Social Integration
subcategory,2.4,3.4,2.4 Cultural Identity & Affirmation,3.4 Cultural Identity & Affirmation
subcategory,2.5,3.5,2.5 Family Partnership & Connection,3.5 Family Partnership & Connection
subcategory,3.1.1,4.1.1,3.1.1 Identifying and naming emotions,4.1.1 Identifying and naming emotions
