gold_id,origin_id,set,program_type,outcome_text,v1_coder_a,v1_coder_b,v1_gold,v1_alternates,v1_agreement,v1_forced_fit,v2_coder_a,v2_coder_b,v2_gold,v2_alternates,v2_agreement,v2_forced_fit,v2_outcome_type,expected_uncoded,codebook_issues,adjudication_note,review_priority,status,adjudicated_by,adjudicated_on
H001,heldout-generator,heldout,afterschool/OST,85% of enrolled youth attended at least 30 program sessions during the school year.,10.5,10.5,10.5,11.5,agreed,0,A2.2,A2.2,A2.2,Y1.5,agreed,0,output,false,,,normal,proposed,,
H002,heldout-generator,heldout,afterschool/OST,"Parents reported feeling more confident that their child has a safe, supervised place to go after school.",2.5,2.5,2.5,12.2;5.1,agreed,1,F3.1,F3.1,A2.5,F3.1,agreed-then-rc1-revised,0,attitude,false,Caregiver peace of mind/trust in program safety has no explicit home; 2.5 is closest. | No code directly covers parents' confidence in the program's safety/supervision; nearest is family-program trust. || v2: No code for parents' confidence in child's safety/supervision; F3.1 trust vs A2.5 satisfaction. | No exact code for parent perception of program safety; closest is family trust/connection with program.,v2: rc1: a family perception of program safety → A2.5.,high,proposed,,
H003,heldout-generator,heldout,afterschool/OST,Youth who attended the program regularly improved their homework completion habits.,4.1,4.1,4.1,3.2.4,agreed,0,Y6.1,Y6.1,Y6.1,Y3.5,agreed,0,behavior,false,,,normal,proposed,,
H004,heldout-generator,heldout,tutoring & literacy,Students reading below grade level increased their oral reading fluency by an average of 12 words per minute.,11.1,11.1,11.1,4.1,agreed,0,Y7.1,Y7.1,Y7.1,,agreed,0,skill,false,,,normal,proposed,,
H005,heldout-generator,heldout,tutoring & literacy,Tutors completed 40 hours of training and began weekly one-on-one sessions with assigned students.,10.1 + 10.5,10.1 + 10.5,10.1,10.2;10.5,agreed,0,A2.2,A2.2 + A2.2,A2.2,A1.1,agreed,0,output,false,"Adult training hours/service delivery are outputs; 10.5 defined around youth participation, 10.1 around learning.",,normal,proposed,,
H006,heldout-generator,heldout,tutoring & literacy,Youth feel more confident reading aloud in front of their class.,4.4,4.4,4.4,3.1.4,agreed,0,Y6.4,Y6.4,Y6.4,Y3.9;Y7.1,agreed,0,attitude,false, || v2: Blends reading skill and public-speaking confidence; coded as academic self-efficacy since 'confidence' is the stated construct.,,normal,proposed,,
H007,heldout-generator,heldout,STEM/robotics,70% of participants reported increased interest in pursuing a career in a STEM field.,8.4,8.4,8.4,1.3,agreed,0,Y1.3,Y9.1,Y9.1,Y1.3,contested,0,attitude,false,"Career interest (vs. exploration activity) straddles 8.4 and 1.3/1.2. || v2: Career interest/aspiration fits Y1.3, Y4.5, and Y9.1 with no tie-breaker.",v2: rc1: interest in a career field → Y9.1.,high,proposed,,
H008,heldout-generator,heldout,STEM/robotics,Youth designed and built a functioning robot and presented it at the regional competition.,1.4 + 1.5,1.4 + 1.5,1.4,11.3,agreed,1,Y7.4 + Y3.9,Y7.4 + Y3.9,Y7.4,Y3.10,agreed,0,skill,false,Engineering design/build products are only loosely 'creative making'; no STEM-making code. | No domain names engineering/robotics building explicitly; forced into arts-framed creating code.,,high,proposed,,
H009,heldout-generator,heldout,STEM/robotics,Girls' enrollment in advanced STEM electives at partner schools increased 15% over the prior year.,9.2,9.2,9.2,10.5;11.6,agreed,1,Y8.6,Y8.6,Y8.6,A2.2,agreed,0,status,false,"No code for subject-specific course enrollment by demographic group; treated as equity/access. || v2: Aggregate school-level stat about individual enrollment, not program dosage.",,high,proposed,,
H010,heldout-generator,heldout,arts & music,Participants demonstrated improved technical skill on their instrument as measured by a jury assessment.,11.3,11.3,11.3,1.4;1.5,agreed,1,Y7.6,Y7.6,Y7.6,Y4.7,agreed,0,skill,false,Arts technical skill mastery has no explicit home; 11.3 lists arts but 1.4/1.5 also plausible.,,high,proposed,,
H011,heldout-generator,heldout,arts & music,The program presented 12 community performances this season.,10.5,10.5,10.5,1.5,agreed,0,A2.2,A2.2,A2.2,Y7.6,agreed,0,output,false,Program-level count of performances: output (10.5) vs performance (1.5) unclear.,,normal,proposed,,
H012,heldout-generator,heldout,arts & music,Youth reported feeling more comfortable expressing themselves creatively and made new friends in the program.,1.4 + 2.3,1.4 + 2.3,1.4,3.1.4,agreed,0,Y4.3 + Y2.3,Y4.3 + Y2.3,Y4.3,Y7.6,agreed,0,attitude,false,,,normal,proposed,,
H013,heldout-generator,heldout,sports & recreation,Participants increased their weekly physical activity to at least 60 minutes on 5 or more days.,7.1,7.1,7.1,,agreed,0,Y10.1,Y10.1,Y10.1,,agreed,0,behavior,false,,,normal,proposed,,
H014,heldout-generator,heldout,sports & recreation,Coaches learned to lead a new conflict-resolution curriculum during pre-season training.,10.1,10.1,10.1,10.2,agreed,0,A1.1,A1.1,A1.1,A1.2,agreed,0,skill,false,,,normal,proposed,,
H015,heldout-generator,heldout,sports & recreation,Youth showed improved sportsmanship and teamwork during games.,5.2 + 3.4.2,5.2 + 3.4.2,5.2,3.3.3;3.5.2,agreed,0,Y5.1 + Y3.10,Y5.1 + Y3.10,Y5.1,Y3.15,agreed,0,behavior|attitude,false,,,normal,proposed,,
H016,heldout-generator,heldout,mentoring,85% of mentor-mentee matches remained active for at least 12 months.,10.5,10.5,10.5,2.2,agreed,0,A2.2,A2.2,A2.2,Y2.2,agreed,0,output,false,,,normal,proposed,,
H017,heldout-generator,heldout,mentoring,Mentees reported a stronger sense of belonging and connection to a caring adult.,2.1 + 2.2,2.1 + 2.2,2.1,2.2,agreed,0,Y2.1 + Y2.2,Y2.1 + Y2.2,Y2.1,Y2.2,agreed,0,attitude,false,,,normal,proposed,,
H018,heldout-generator,heldout,mentoring,"Youth-mentor pairs met weekly, and mentees' school attendance improved over the program year.",10.5 + 11.5,10.5 + 11.5,10.5,4.1,agreed,0,Y8.1 + A2.2,A2.2 + Y8.1,Y8.1,A2.2,contested,0,status|output,false,"Unclear whether a dosage clause is a 'means' (don't split) or a codeable 10.5 output (split). || v2: Unclear whether weekly meetings are the means (don't split) or a dosage result (A2.2, never uncoded).",v2: Split: attendance improvement (Y8.1) + meeting frequency (A2.2).,high,proposed,,
H019,heldout-generator,heldout,college access,Seniors submitted the FAFSA and at least one college application by January 1.,8.3,8.3,8.3,8.7,agreed,0,Y9.2 + Y9.2,Y9.2,Y9.2,Y8.7,agreed,0,behavior,false,,,normal,proposed,,
H020,heldout-generator,heldout,college access,90% of participants enrolled in a two- or four-year college the fall after graduation.,8.7,8.7,8.7,,agreed,0,Y8.7,Y8.7,Y8.7,,agreed,0,status,false,,,normal,proposed,,
H021,heldout-generator,heldout,college access,"Students increased their understanding of the financial aid process, including grants and loans.",8.3,8.3,8.3,12.5,agreed,0,Y9.2,Y9.2,Y9.2,,agreed,0,knowledge,false,,,normal,proposed,,
H022,heldout-generator,heldout,youth employment & workforce,Youth obtained subsidized summer employment and completed at least 120 paid work hours.,8.8,8.8,8.8,8.6,agreed,0,Y9.5,Y9.5,Y9.5,Y9.4,agreed,0,status,false,Subsidized summer jobs straddle 8.6 work-based learning and 8.8 employment placement.,,normal,proposed,,
H023,heldout-generator,heldout,youth employment & workforce,Participants demonstrated improved workplace communication and professionalism.,8.5,8.5,8.5,3.4.1,agreed,0,Y9.3,Y9.3,Y9.3,Y3.9,agreed,0,skill,false,,,normal,proposed,,
H024,heldout-generator,heldout,youth employment & workforce,75% of program graduates were employed or enrolled in postsecondary education six months after completion.,8.8,8.8 + 8.7,8.8,8.7,agreed,0,Y9.5,Y9.5,Y9.5,Y8.7,agreed,0,status,false,Composite employment-or-education indicator spans 8.7 and 8.8; no rule. || v2: Combined employment-or-education metric; no rule to split.,,normal,proposed,,
H025,heldout-generator,heldout,financial literacy,Participants opened a savings account within three months of completing the workshop.,12.5,12.5,12.5,11.2,agreed,1,Y9.6,Y9.6,Y9.6,F2.1,agreed,0,behavior,false,Youth financial behavior has no home; 12.5 is household-level. | No code specifically covers a youth participant's own financial behavior outside household/caregiver framing. || v2: Participant population (youth vs. adult) unspecified.,,high,proposed,,
H026,heldout-generator,heldout,financial literacy,"Youth increased their knowledge of budgeting, credit, and saving as measured by a pre/post quiz.",11.3,11.3,11.3,11.2;12.5,agreed,0,Y9.6,Y9.6,Y9.6,,agreed,0,knowledge,false,Financial literacy content: subject area says Mathematics but 11.2 is math skill; 11.3 vs 11.2 unclear.,,normal,proposed,,
H027,heldout-generator,heldout,financial literacy,Families reported feeling more confident managing household finances.,12.5,12.5,12.5,12.2,agreed,1,F2.1,F2.1,F1.5,F2.1,agreed-then-rc1-revised,0,attitude,false,"No code for caregiver financial self-efficacy/confidence specifically; 12.5 covers actual economic outcomes, not confidence. || v2: No code for caregiver/household financial capability or confidence; F2.1 is income/stability, Y9.6 is youth-only. | No family-level financial capability/confidence code exists; only youth (Y9.6) or household income (F2.1).",v2: rc1: adult financial literacy/confidence → F1.5.,high,proposed,,
H028,heldout-generator,heldout,civic engagement & youth organizing,Youth organizers led a campaign that resulted in a new city ordinance extending youth curfew hours during summer months.,6.3,6.3,6.3,10.3;6.4,agreed,0,Y5.3 + A3.1,A3.1,Y5.3,A3.1,contested,0,behavior|status,false,,v2: Split: youth organizing (Y5.3) + ordinance adopted (A3.1).,high,proposed,,
H029,heldout-generator,heldout,civic engagement & youth organizing,Participants increased their knowledge of the voter registration process and registered eligible peers.,6.1 + 6.2,6.1 + 6.2,6.1,6.3,agreed,0,Y5.2 + Y5.3,Y5.2 + Y5.3,Y5.2,Y5.3,agreed,0,knowledge,false,,,normal,proposed,,
H030,heldout-generator,heldout,civic engagement & youth organizing,Youth reported an increased sense that they can influence decisions in their community.,6.3,6.3,6.3,5.1,agreed,0,Y5.3,Y5.3,Y5.3,Y4.3;Y4.6,agreed,1,attitude,false,Felt civic efficacy sits between 5.1 (felt voice) and 6.3 (voice/influence); 5.1 note routes to 6.3. || v2: Civic efficacy (belief) not named; Y5.3 defined as acting to influence decisions. | Tie-breaker: influencing collective decisions goes to Y5.3.,,high,proposed,,
H031,heldout-generator,heldout,environmental/outdoor education,Students correctly identified 80% more native plant and animal species on post-program assessments compared to pre-tests.,11.3,11.3,11.3,8.1,agreed,0,Y7.4,Y7.4,Y7.4,Y5.6,agreed,0,knowledge,false,,,normal,proposed,,
H032,heldout-generator,heldout,environmental/outdoor education,Youth completed a 3-day backpacking expedition and demonstrated leadership in group decision-making.,6.3,6.3,6.3,3.4.2,agreed,1,Y3.10,Y3.10,Y3.10,Y3.14,agreed,0,skill,false,Non-civic group leadership lacks a home; expedition completion treated as means. | No code covers outdoor/group leadership outside a civic-influence context; expedition itself treated as the activity/means. || v2: The 3-day backpacking expedition is the activity/setting and not split off as a separate outcome.,,high,proposed,,
H033,heldout-generator,heldout,environmental/outdoor education,Participants reported increased comfort and confidence spending time outdoors.,3.1.4,3.1.4,3.1.4,1.1;5.1,agreed,0,Y4.3,Y4.3,Y4.3,Y5.6,agreed,1,attitude,false," || v2: Domain-specific non-academic confidence has no home; Y4.3 is general, Y5.6 connection to nature partial. | General confidence construct applied to an outdoor-specific context; no domain-specific code exists.",,high,proposed,,
H034,heldout-generator,heldout,school-based mental health,Students receiving counseling showed a reduction in self-reported anxiety symptoms on the GAD-7 screener.,7.2,7.2,7.2,7.4,agreed,0,Y11.1,Y11.1,Y11.1,Y11.4,agreed,0,status,false,,,normal,proposed,,
H035,heldout-generator,heldout,school-based mental health,Referrals to the school-based clinician increased 20% following staff training on warning signs of distress.,10.2,7.4,7.4,10.2,contested,0,A1.2,Y11.4,Y11.4,A1.2,contested,0,behavior|status,false,Referral increase could be staff practice (10.2) or youth service access (7.4). || v2: Staff training is the means (not split off); referral increase could be read as program output or individual service-access status.,Staff training is the means; referrals are service use. v2: rc1: staff training is the means.,high,proposed,,
